WARD,month,permits
1,2007-12,1
1,2008-01,3
1,2008-02,3
1,2008-03,117
1,2008-05,81
1,2008-06,144
1,2008-07,163
1,2008-08,135
1,2008-10,64
1,2008-11,173
1,2008-12,121
1,2009-01,16
1,2009-02,75
1,2009-03,59
1,2009-03,136
1,2009-04,28
1,2009-05,37
1,2009-07,54
1,2009-08,101
1,2009-09,150
1,2010-01,116
1,2010-04,126
1,2010-05,123
1,2010-07,124
1,2010-09,45
1,2010-11,131
1,2011-02,66
1,2011-03,116
1,2011-04,89
1,2011-05,63
1,2011-06,44
1,2011-06,100
1,2011-06,161
1,2011-07,128
1,2011-09,85
1,2011-10,139
1,2011-12,122
1,2012-01,75
1,2012-02,125
1,2012-05,45
1,2012-06,81
1,2012-07,48
1,2012-07,125
1,2012-08,126
1,2012-09,113
1,2013-01,150
1,2013-02,120
1,2013-03,101
1,2013-03,128
1,2013-04,94
1,2013-05,84
1,2013-05,188
1,2013-06,84
1,2013-06,161
1,2013-07,92
1,2013-07,181
1,2013-08,114
1,2013-08,174
1,2013-09,42
1,2013-11,142
1,2013-12,106
1,2014-01,133
1,2014-07,54
1,2014-07,265
1,2014-10,82
1,2014-11,135
1,2014-12,163
1,2015-01,23
1,2015-02,117
1,2015-06,102
1,2015-08,130
1,2015-09,135
1,2015-10,139
1,2015-10,200
1,2015-11,123
1,2015-11,150
1,2016-01,99
1,2016-03,193
1,2016-04,171
1,2016-05,142
1,2016-06,203
1,2016-07,114
1,2016-08,131
1,2016-08,192
1,2016-11,142
1,2016-11,189
1,2016-12,145
1,2017-01,130
1,2017-08,196
1,2017-09,141
1,2017-09,177
1,2017-10,143
1,2017-11,119
1,2017-12,82
1,2018-01,150
1,2018-02,104
1,2018-02,114
1,2018-05,161
1,2018-06,176
1,2018-08,145
1,2018-08,181
1,2018-11,155
1,2018-12,78
1,2018-12,105
1,2019-01,82
1,2019-03,113
1,2019-03,156
1,2019-05,101
1,2019-05,182
1,2019-08,207
1,2019-11,91
1,2019-12,106
1,2020-04,94
1,2020-10,91
1,2020-12,99
1,2021-01,93
1,2021-02,105
2,2006-09,1
2,2007-11,1
2,2007-12,1
2,2008-01,2
2,2008-01,5
2,2008-02,2
2,2008-03,88
2,2008-03,228
2,2008-03,40
2,2008-03,28
2,2008-04,33
2,2008-04,161
2,2008-04,34
2,2008-05,122
2,2008-05,33
2,2008-06,265
2,2008-06,26
2,2008-07,22
2,2008-08,46
2,2008-09,130
2,2008-09,46
2,2008-09,23
2,2008-10,37
2,2008-10,28
2,2008-11,43
2,2008-12,21
2,2008-12,140
2,2008-12,254
2,2009-01,19
2,2009-02,284
2,2009-02,25
2,2009-02,7
2,2009-03,30
2,2009-03,15
2,2009-04,41
2,2009-04,16
2,2009-05,18
2,2009-05,27
2,2009-06,33
2,2009-06,286
2,2009-07,30
2,2009-07,13
2,2009-08,155
2,2009-08,292
2,2009-08,23
2,2009-09,25
2,2009-11,24
2,2009-11,291
2,2009-11,20
2,2009-11,12
2,2009-12,104
2,2009-12,272
2,2010-01,117
2,2010-01,22
2,2010-01,21
2,2010-02,222
2,2010-02,25
2,2010-03,302
2,2010-03,26
2,2010-04,35
2,2010-04,17
2,2010-04,11
2,2010-05,151
2,2010-05,258
2,2010-05,35
2,2010-07,126
2,2010-07,34
2,2010-07,17
2,2010-08,114
2,2010-09,272
2,2010-09,49
2,2010-10,24
2,2010-10,66
2,2010-10,16
2,2010-11,26
2,2010-12,189
2,2010-12,28
2,2011-01,15
2,2011-01,260
2,2011-01,31
2,2011-02,260
2,2011-02,10
2,2011-03,20
2,2011-03,34
2,2011-04,161
2,2011-05,25
2,2011-05,138
2,2011-05,26
2,2011-06,340
2,2011-06,37
2,2011-06,29
2,2011-07,119
2,2011-07,24
2,2011-07,23
2,2011-08,135
2,2011-08,38
2,2011-08,27
2,2011-09,34
2,2011-09,286
2,2011-09,14
2,2011-10,246
2,2011-10,35
2,2011-11,33
2,2012-01,16
2,2012-01,5
2,2012-02,18
2,2012-02,245
2,2012-02,23
2,2012-02,4
2,2012-03,29
2,2012-04,149
2,2012-04,256
2,2012-04,38
2,2012-04,25
2,2012-05,140
2,2012-06,306
2,2012-06,29
2,2012-07,44
2,2012-07,37
2,2012-08,35
2,2012-08,309
2,2012-08,43
2,2012-09,20
2,2012-09,141
2,2012-09,55
2,2012-09,30
2,2012-10,375
2,2012-10,54
2,2012-11,245
2,2012-11,19
2,2012-12,104
2,2012-12,230
2,2012-12,13
2,2013-01,361
2,2013-01,16
2,2013-02,113
2,2013-02,220
2,2013-02,25
2,2013-03,153
2,2013-03,32
2,2013-04,280
2,2013-04,36
2,2013-04,7
2,2013-05,39
2,2013-05,174
2,2013-05,359
2,2013-05,32
2,2013-06,154
2,2013-06,311
2,2013-07,23
2,2013-07,54
2,2013-08,39
2,2013-08,14
2,2013-09,166
2,2013-10,44
2,2013-10,13
2,2013-11,164
2,2013-11,23
2,2013-12,95
2,2013-12,27
2,2013-12,19
2,2014-01,137
2,2014-01,268
2,2014-01,23
2,2014-02,15
2,2014-02,33
2,2014-03,185
2,2014-03,39
2,2014-03,14
2,2014-04,314
2,2014-04,16
2,2014-05,45
2,2014-05,14
2,2014-06,174
2,2014-06,324
2,2014-07,51
2,2014-07,32
2,2014-08,29
2,2014-09,43
2,2014-09,170
2,2014-09,42
2,2014-09,26
2,2014-10,176
2,2014-10,348
2,2014-10,47
2,2014-11,136
2,2014-11,346
2,2014-11,31
