WARD,month,permits
1,2007-12,1
1,2008-01,1
1,2008-03,7
1,2008-04,5
1,2008-05,3
1,2008-06,5
1,2008-07,3
1,2008-08,3
1,2008-09,7
1,2008-10,7
1,2008-11,3
1,2008-12,4
1,2009-01,4
1,2009-02,3
1,2009-03,4
1,2009-04,3
1,2009-07,1
1,2009-08,4
1,2009-09,1
1,2009-10,3
1,2009-11,2
1,2009-12,3
1,2010-01,2
1,2010-02,3
1,2010-03,3
1,2010-04,5
1,2010-05,1
1,2010-06,2
1,2010-07,1
1,2010-08,5
1,2010-09,2
1,2010-10,10
1,2010-11,5
1,2010-12,1
1,2011-01,3
1,2011-02,2
1,2011-03,4
1,2011-04,1
1,2011-05,6
1,2011-06,4
1,2011-07,7
1,2011-08,5
1,2011-09,7
1,2011-10,3
1,2011-11,8
1,2011-12,7
1,2012-01,5
1,2012-02,3
1,2012-03,8
1,2012-04,5
1,2012-05,10
1,2012-06,6
1,2012-07,9
1,2012-08,7
1,2012-09,7
1,2012-10,5
1,2012-11,4
1,2012-12,10
1,2013-01,9
1,2013-02,7
1,2013-03,14
1,2013-04,10
1,2013-05,11
1,2013-06,8
1,2013-07,10
1,2013-08,10
1,2013-09,13
1,2013-10,12
1,2013-11,10
1,2013-12,14
1,2014-01,8
1,2014-02,6
1,2014-03,14
1,2014-04,9
1,2014-05,11
1,2014-06,7
1,2014-07,14
1,2014-08,15
1,2014-09,14
1,2014-10,16
1,2014-11,8
1,2014-12,9
1,2015-01,5
1,2015-02,7
1,2015-03,6
1,2015-04,11
1,2015-05,15
1,2015-06,5
1,2015-07,7
1,2015-08,22
1,2015-09,15
1,2015-10,18
1,2015-11,7
1,2015-12,6
1,2016-01,7
1,2016-02,9
1,2016-03,12
1,2016-04,10
1,2016-05,15
1,2016-06,11
1,2016-07,11
1,2016-08,13
1,2016-09,23
1,2016-10,16
1,2016-11,8
1,2016-12,5
1,2017-01,8
1,2017-02,4
1,2017-03,20
1,2017-04,16
1,2017-05,1
1,2017-06,9
1,2017-07,10
1,2017-08,16
1,2017-09,16
1,2017-10,15
1,2017-11,12
1,2017-12,9
1,2018-01,7
1,2018-02,12
1,2018-03,14
1,2018-04,6
1,2018-05,12
1,2018-06,7
1,2018-07,12
1,2018-08,9
1,2018-09,15
1,2018-10,8
1,2018-11,10
1,2018-12,4
1,2019-01,4
1,2019-02,6
1,2019-03,9
1,2019-04,5
1,2019-05,13
1,2019-06,7
1,2019-07,9
1,2019-08,4
1,2019-09,6
1,2019-10,9
1,2019-11,10
1,2019-12,1
1,2020-01,5
1,2020-02,1
1,2020-03,1
1,2020-04,5
1,2020-05,4
1,2020-06,5
1,2020-07,6
1,2020-08,7
1,2020-09,8
1,2020-10,8
1,2020-11,3
1,2020-12,4
1,2021-01,6
1,2021-02,5
1,2021-03,3
1,2021-04,5
2,2007-12,1
2,2008-01,2
2,2008-03,1
2,2008-04,5
2,2008-05,3
2,2008-06,10
2,2008-07,11
2,2008-08,10
2,2008-09,6
2,2008-10,9
2,2008-11,7
2,2008-12,4
2,2009-01,1
