WARD,month,permits
1,2006-01-01,0
1,2006-02-01,0
1,2006-03-01,0
1,2006-04-01,0
1,2006-05-01,0
1,2006-06-01,0
1,2006-07-01,0
1,2006-08-01,0
1,2006-09-01,0
1,2006-10-01,0
1,2006-11-01,0
1,2006-12-01,0
1,2007-01-01,0
1,2007-02-01,0
1,2007-03-01,0
1,2007-04-01,0
1,2007-05-01,0
1,2007-06-01,0
1,2007-07-01,0
1,2007-08-01,0
1,2007-09-01,0
1,2007-10-01,0
1,2007-11-01,0
1,2007-12-01,1
1,2008-01-01,1
1,2008-02-01,0
1,2008-03-01,7
1,2008-04-01,5
1,2008-05-01,3
1,2008-06-01,5
1,2008-07-01,3
1,2008-08-01,3
1,2008-09-01,7
1,2008-10-01,7
1,2008-11-01,3
1,2008-12-01,4
1,2009-01-01,4
1,2009-02-01,3
1,2009-03-01,4
1,2009-04-01,3
1,2009-05-01,0
1,2009-06-01,0
1,2009-07-01,1
1,2009-08-01,4
1,2009-09-01,1
1,2009-10-01,3
1,2009-11-01,2
1,2009-12-01,3
1,2010-01-01,2
1,2010-02-01,3
1,2010-03-01,3
1,2010-04-01,5
1,2010-05-01,1
1,2010-06-01,2
1,2010-07-01,1
1,2010-08-01,5
1,2010-09-01,2
1,2010-10-01,10
1,2010-11-01,5
1,2010-12-01,1
1,2011-01-01,3
1,2011-02-01,2
1,2011-03-01,4
1,2011-04-01,1
1,2011-05-01,6
1,2011-06-01,4
1,2011-07-01,7
1,2011-08-01,5
1,2011-09-01,7
1,2011-10-01,3
1,2011-11-01,8
1,2011-12-01,7
1,2012-01-01,5
1,2012-02-01,3
1,2012-03-01,8
1,2012-04-01,5
1,2012-05-01,10
1,2012-06-01,6
1,2012-07-01,9
1,2012-08-01,7
1,2012-09-01,7
1,2012-10-01,5
1,2012-11-01,4
1,2012-12-01,10
1,2013-01-01,9
1,2013-02-01,7
1,2013-03-01,14
1,2013-04-01,10
1,2013-05-01,11
1,2013-06-01,8
1,2013-07-01,10
1,2013-08-01,10
1,2013-09-01,13
1,2013-10-01,12
1,2013-11-01,10
1,2013-12-01,14
1,2014-01-01,8
1,2014-02-01,6
1,2014-03-01,14
1,2014-04-01,9
1,2014-05-01,11
1,2014-06-01,7
1,2014-07-01,14
1,2014-08-01,15
1,2014-09-01,14
1,2014-10-01,16
1,2014-11-01,8
1,2014-12-01,9
1,2015-01-01,5
1,2015-02-01,7
1,2015-03-01,6
1,2015-04-01,11
1,2015-05-01,15
1,2015-06-01,5
1,2015-07-01,7
1,2015-08-01,22
1,2015-09-01,15
1,2015-10-01,18
1,2015-11-01,7
1,2015-12-01,6
1,2016-01-01,7
1,2016-02-01,9
1,2016-03-01,12
1,2016-04-01,10
1,2016-05-01,15
1,2016-06-01,11
1,2016-07-01,11
1,2016-08-01,13
1,2016-09-01,23
1,2016-10-01,16
1,2016-11-01,8
1,2016-12-01,5
1,2017-01-01,8
1,2017-02-01,4
1,2017-03-01,20
1,2017-04-01,16
1,2017-05-01,1
1,2017-06-01,9
1,2017-07-01,10
